iterations,ac_loss
1,363658.34849809954
2,336935.003332133
3,193855.45586538524
4,29592.925119077838
5,10430.682704823463
6,12848.088615032399
7,15701.351297668341
8,15728.421602811413
9,16494.49666225448
10,13285.257039207188
11,14877.889530178853
12,11444.000933299476
13,8729.623986667215
14,11699.579803639439
15,12933.015877344504
16,8809.606683550342
17,9110.77321721824
18,13280.49924799488
19,10423.495362492646
20,13181.27541627225
21,10600.952659200466
22,6034.367553363918
23,10139.030193272727
24,10537.836616533072
25,8607.527199963504
26,11106.850457594732
27,9559.590966869173
28,9996.98620761376
29,9223.044823238617
30,10159.491855473543
31,5095.913189646034
32,9146.665335005653
33,8870.665908513074
34,10068.870195850035
35,9106.251656064758
36,6522.850487122084
37,13030.78025691307
38,5860.248911274695
39,9270.36806301756
40,10362.729930518966
41,6320.399636251205
42,9229.124379892999
43,7675.47675327313
44,6212.477842414518
45,11861.96350316598
46,9773.896890349883
47,5544.807168203079
48,7777.275493662506
49,9611.506406326862
50,8317.91920584811
51,5826.9854234128625
52,6309.343138346145
53,8579.11747036204
54,9629.925394675953
55,4345.804026647338
56,4488.521596602819
57,7231.408153985816
58,16259.330460385798
59,-1797.4498623221073
60,8766.100917988242
61,9929.127296780194
62,3826.297481240604
63,8419.166540316724
64,3598.864602513722
65,11055.486386806931
66,7299.262942598635
67,5157.875312923247
68,6879.160451608957
69,9894.322104101939
70,5591.531872319336
71,5718.9265365093015
72,10256.291626753537
73,7059.808507020028
74,8141.542903536609
75,7537.586132882012
76,7829.3395107491115
77,6683.987182563651
78,7639.761016364593
79,7428.831165934542
80,7960.999716335673
81,8331.106268725638
82,4521.956311275743
83,6158.204476537119
84,7954.505201586604
85,5317.63845324231
86,6105.695659244806
87,8438.767634075393
88,6145.183944944182
89,4799.3087701040495
90,6252.322854787798
91,6775.614674690456
92,9375.594789165298
93,6678.099955605192
94,4700.180212894798
95,7392.252592553139
96,4928.3645306559865
97,9662.628386684733
98,6643.144771299315
99,5977.8389437165
100,8334.997837824358
101,2871.152546308316
102,6375.471559144724
103,7853.790296901175
104,6156.578335909445
105,7669.344383310272
106,4096.851412278498
107,7393.934633453338
108,4229.1835152555595
109,6266.9164082878315
110,5014.60460292447
111,11155.621792254833
112,7065.096613934348
113,5847.937943856942
114,2966.278295218647
115,10130.138512954114
116,7140.431961497806
117,5884.62045414241
118,3988.2080666847833
119,9752.321787192705
120,6049.997843641361
121,4826.329699091402
122,6251.3609523364175
123,6650.741645155673
124,6069.452086778076
125,5723.5243091161465
126,7372.275353765857
127,5724.584373260506
128,4989.550784255789
129,9995.616558478909
130,6637.621087527366
131,6394.260957385032
132,3836.8031445358492
133,7174.3723139911035
134,9480.605627700043
135,4704.629146375922
136,9045.821810714178
137,7415.52137753054
138,6594.885993211353
139,5295.411019218969
140,7948.201899299745
141,5959.7462153374
142,6608.873701752547
143,5650.204749896024
144,5499.13505204976
145,5854.557044767378
146,8625.315887676881
147,7373.885130354194
148,6231.447091141042
149,7659.151651935793
150,6535.4585788188315
151,6165.5283754885295
152,4862.354416264935
153,7058.843089663281
154,3793.9853796558245
155,7755.082383012603
156,7152.660778970788
157,7018.489649925301
158,5099.836426131859
159,8267.855605292978
160,5061.302010536066
161,4978.775620519513
162,8610.436319054823
163,5565.029007277963
164,6022.505529101339
165,6492.0472964884775
166,6024.338693663281
167,4641.2703098767415
168,6770.013299698915
169,4714.877082572177
170,9399.85449243178
171,5375.381764106404
172,6465.269870229412
173,7206.601190535512
174,6611.142743564917
175,6991.929190853732
176,4450.180774663058
177,11443.24103354476
178,4001.65186873638
179,3688.3356943929357
180,6634.539409261745
181,6617.307547392362
182,8343.236659120661
183,5945.353815767264
184,7338.6614550533
185,7790.184451968327
186,3328.962635936639
187,5537.878510887342
188,7982.75587850117
189,5785.694839941799
190,7634.984415736995
191,5085.639238031082
192,6363.559334607062
193,5961.778371876778
194,6446.783004802635
195,6445.333689407444
196,8509.53139547689
197,6119.444894886681
198,7219.0648987063905
199,4771.875706039565
200,7855.879874469841
201,5325.455263056471
202,6020.412723319358
