iterations,value_loss
1,136285532979.2
2,118576731596.8
3,46213304051.2
4,12151471975.2
5,8746211544.0
6,8293948584.8
7,7735717276.8
8,8211518597.8
9,9491272498.4
10,9166794018.4
11,9457124459.2
12,8038477948.0
13,6877889403.2
14,6286290182.4
15,6561901007.2
16,7153047040.8
17,6902119991.2
18,7323244891.2
19,5713898840.4
20,6222388602.4
21,5547982365.2
22,5187222985.6
23,5412623452.8
24,5555359160.0
25,4339216370.8
26,5508428699.2
27,4933456432.0
28,4435260907.6
29,4036387267.6
30,4535977092.0
31,5720241936.0
32,3416533387.2
33,3704093084.0
34,4147217888.4
35,3847150529.2
36,3536688857.2
37,4048256056.8
38,3318995952.4
39,3954358719.2
40,4749659666.0
41,3364177921.6
42,4237118130.0
43,3264882603.2
44,3958335437.2
45,4038869312.4
46,4103779443.6
47,4087095066.0
48,3263032634.4
49,4631618669.6
50,4478686208.4
51,3715705098.0
52,3393400365.4
53,4005082471.0
54,4407332229.6
55,4384437410.4
56,3708908683.6
57,3340284064.4
58,4694474045.2
59,3168152463.0
60,3247369558.6
61,4624251582.4
62,3555017842.4
63,4207729413.6
64,3219041967.2
65,3911727356.2
66,4407911100.4
67,3180087798.8
68,3960934684.8
69,3849011251.6
70,3929516121.6
71,4174433008.4
72,3914749987.6
73,4489407430.4
74,3267228411.6
75,3759281555.2
76,4006076298.0
77,4786085003.6
78,3646267477.4
79,3913392402.8
80,3944124231.6
81,4224282322.7
82,2866291552.4
83,3103807556.8
84,3872730707.8
85,3450815683.6
86,3084444128.4
87,3928662169.6
88,3404187847.6
89,4820769059.4
90,3146033497.2
91,3168250175.3
92,3727863143.2
93,3345318468.4
94,2602789899.8
95,4003432982.0
96,3168634568.6
97,3203782692.0
98,4000327093.6
99,3719558193.6
100,3821203958.0
101,4351298332.4
102,3156030866.8
103,3708191596.0
104,3696121796.8
105,3368059420.8
106,2894206965.0
107,3893289935.2
108,4141150027.1
109,2726478655.0
110,2588752662.2
111,3659271870.8
112,3651629153.2
113,3152883447.2
114,2954950474.4
115,3354171252.0
116,3232603612.8
117,2943875678.8
118,4204236706.0
119,3510002702.8
120,3537063680.0
121,3364343683.6
122,3123304830.0
123,3279832251.35
124,2871774608.0
125,3683706584.0
126,2843625524.0
127,3149593538.8
128,3137229815.6
129,3786726550.4
130,4224618732.4
131,3561698707.0
132,3998480420.9
133,2999250034.8
134,3646165863.2
135,3819493227.6
136,4062646922.4
137,3619211475.6
138,4458981304.8
139,3453956522.6
140,3400540860.0
141,3895295066.4
142,3638247720.2
143,3614648392.4
144,2838828166.8
145,3242019529.0
146,3326801503.2
147,4070880982.8
148,3149166067.6
149,4325976016.8
150,3820913628.6
151,3398966183.2
152,3045542781.2
153,3855096483.2
154,3890279373.2
155,3140639761.6
156,3002833531.2
157,3404349901.7
158,4233102385.6
159,3071675533.6
160,3233038662.2
161,3804558494.4
162,3874099310.8
163,2643753340.0
164,2858284808.6
165,3524525346.0
166,3336481770.2
167,3450057584.0
168,2845960427.4
169,3315973008.4
170,3530172754.0
171,2959865984.0
172,3617207849.0
173,4072131931.6
174,3064101807.6
175,2911725271.6
176,2910472379.3
177,4470682966.8
178,2953477208.2
179,2949706596.4
180,3392602643.4
181,3388655271.2
182,3252851590.0
183,3233069663.0
184,3832205784.4
185,4479873596.4
186,3075541137.8
187,2673036944.8
188,3893537451.2
189,3634370872.8
190,3699182125.6
191,2937566957.3
192,3566859540.4
193,3627711161.6
194,2870836881.8
195,3158880942.4
196,3601021920.6
197,3518636492.4
198,3261468407.6
199,2919908869.2
200,3200258300.0
201,3610014580.8
202,2782759575.2
